reportyear,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,mode,mode_name,pop_mode,pop_total,percent
2000,Latino,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",170,771,22.0492866407263
2000,NHOPI,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,White,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",1468,12062,12.1704526612502
2000,Multiple,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",19,269,7.0631970260223
2000,Other,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,CARPOOL,"Car, Truck, or Van: Carpooled",NA,NA,NA
2000,AIAN,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,0,154,0.0
2000,Asian,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,0,71,0.0
2000,AfricanAm,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,0,26,0.0
2000,Latino,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,0,771,0.0
2000,NHOPI,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,White,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,39,12062,0.323329464433759
2000,Multiple,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,0,269,0.0
2000,Other,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,PUBLICTR,Public Transportation,NA,NA,NA
2000,AIAN,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,WALK,Walked to work,3,154,1.94805194805195
2000,Asian,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,WALK,Walked to work,0,71,0.0
2000,AfricanAm,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,WALK,Walked to work,4,26,15.3846153846154
2000,Latino,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,WALK,Walked to work,4,771,0.518806744487678
2000,NHOPI,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,WALK,Walked to work,NA,NA,NA
2000,White,CO,6005.0,Amador,Amador,6005,Central/Southeast Sierra,3,WALK,Walked to work,433,12062,3.58978610512353
